field_1,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"3","25615165",Guarapuavinha,ELEJOR,H,-51.67591,-25.59652,866,2006/07/13
"126","26105047",Foz do Timbó,Simepar,H,-50.89522,-26.29452,0,1997/06/01
"141","26175039",CANOINHAS- Prefeitura Municipal,CEMADEN,P,-50.39492,-26.17522,,2015/02/24
"191","25075038",Uvaia,Maua,H,-50.38847,-25.07553,,2013/06/20
"240","26235107",UNIÃO DA VITÓRIA- Sagrada Familia,CEMADEN,P,-51.069,-26.232,,2014/07/25
"259","26255110",UNIÃO DA VITÓRIA - Rio da Praia,CEMADEN,P,-51.1,-26.251,,2014/07/25
"380","26005139",Foz do Areia,Simepar,H,-51.66754,-26.00639,728.2,1998/03/06
"508","26025035",Fluviopolis,Simepar,H,-50.5833,-26.0333,0,1997/06/01
"542","25555031",Pontilhão,Simepar,H,-50.5166,-25.9166,0,1997/06/01
"544","25485116",Madeireira Gavazzoni,Simepar,H,-51.22884,-25.80682,0,1997/06/11
"547","25505036",Teixeira Soares,Epagri/Ciram,P,-50.36111,-25.50528,1016.08,2009/07/08
"570","26025109",Palmital do Meio,Simepar,H,-51.14149,-26.02999,0,1997/06/01
"579","25435059",Fernandes Pinheiro / Irati,Iapar,M,-50.59503,-25.44331,872,2015/08/01
"605","25385149",Guarapuava,Iapar,M,-51.49391,-25.38495,1029,2015/08/01
"630","25865037",SÃO MATEUS DO SUL- Pinheirinho,CEMADEN,P,-50.37159,-25.86249,,2016/02/19
"645","26005167",UHGBM - Canal Fuga,Simepar,H,-51.66995,-26.00673,914,2010/05/05
"743","26065150",Bituruna,Simepar,H,-51.5083,-26.0639,720,2011/04/15
"912","26435132",GENERAL CARNEIRO - Centro,CEMADEN,P,-51.317,-26.428,,2014/07/25
"984","26245108",PORTO UNIÃO - Centro,CEMADEN,P,-51.084,-26.236,,2014/07/25
"1272","26055139",Foz do Areia,Simepar,M,-51.6679,-26.0037,780,1997/06/01
"1522","25325149",Salto Curucaca,ELEJOR,H,-51.81917,-25.53636,762,2006/07/27
"1527","24565023",PCH Salto Mauá Montante,Klabin,H,-50.3908,-24.9475,759,2003/07/24
"1631","25835036",São Mateus do Sul,Inmet,M,-50.36899,-25.8356,780.21,2011/04/16
"1709","25105056",Barragem UHE Rio dos Patos,Simepar,H,-50.94092,-25.17614,719,2008/11/13
"1897","26145103",União da Vitória,Simepar,M,-51.06827,-26.22825,756.53,1997/06/01
"1939","23365141",Guarapuavinha Novo,ELEJOR,H,-51.65317,-25.61192,866,2014/05/22
"1972","25005051",Ivaí,Inmet,M,-50.85385,-25.01076,803.58,2006/07/12
"2365","25215098",PRUDENTÓPOLIS - Bombeiro Comunitário,CEMADEN,P,-50.97847,-25.21334,,2015/02/25
"2545","26245080",IRINEÓPOLIS- Hospital Municipal Bom Jesus,CEMADEN,P,-50.80416,-26.23987,,2015/03/06
"2617","25315119",Serra da Esperança,Caminhos do Paraná,P,-51.19687,-25.31566,964,2013/03/01
"2738","25475066",IRATI - Centro,CEMADEN,P,-50.65887,-25.47186,,2015/02/24
"2811","26105114",Porto Vitória,Simepar,H,-51.2333,-26.1666,0,1997/06/01
"3026","25335105",Inácio Martins,Inmet,M,-51.07795,-25.56788,1208.85,2006/10/16
"3122","26395036",Major Vieira,Inmet,M,-50.36321,-26.39366,799.58,2009/02/10
"3221","26445135",General Carneiro,Inmet,M,-51.35367,-26.39847,1009.01,2008/04/10
"3225","25445068",Praça de Irati,Caminhos do Paraná,P,-50.68119,-25.4444,966,2013/03/01
"3226","25155054",Praça de Imbituva,Caminhos do Paraná,P,-50.54213,-25.15736,925,2013/03/25
"3263","25525023",São Mateus do Sul,Simepar,H,-50.38755,-25.87702,0,1997/06/01
"3268","26145104",União da Vitória,Simepar,H,-51.08059,-26.22772,749,1997/06/01
"3269","25485173",Fazenda Aurora,ELEJOR,H,-51.73786,-25.4879,,2015/04/10
"3349","25215130",Guarapuava,Simepar,M,-51.4935,-25.3845,1070,1997/06/01
"3355","25335129",Entre Rios,Simepar,M,-51.4884,-25.5459,1095,2001/01/17
"3735","26225115",Jangada,Simepar,H,-51.25,-26.3666,1046,1997/06/01
"3767","25455163",Foz Do Rio Coutinho,Águas Paraná,H,-51.63583,-25.45278,,2014/02/03
"3788","25445144",Foz Do Rio Bananas,Águas Paraná,H,-51.44681,-25.44458,,2014/02/03
"4462","25465053",Eta Irati,Águas Paraná,H,-50.53306,-25.46417,,2014/02/04
"4467","25395143",Eta Guarapuava,Águas Paraná,H,-51.43653,-25.39914,,2014/02/04
"4469","25235096",Prudentópolis Capt. Sanepar,Águas Paraná,H,-50.96083,-25.23722,,2014/02/20
"4492","25275035",Fernandes Pinheiro,Simepar,M,-50.5839,-25.4532,893,1998/11/28
"4578","26225049",MB-Canoinhas - KURPIEL,Epagri/Ciram,H,-50.49222,-26.22139,779,2014/01/01
"4984","25405149",GUARAPUAVA - Vila Bela,CEMADEN,P,-51.49242,-25.40131,,2015/02/25
"4985","25365143",GUARAPUAVA - Imovel Morro Alto,CEMADEN,P,-51.43377,-25.35533,,2015/02/24
"5061","25885042",SÃO MATEUS DO SUL - SaoMateus02,CEMADEN,P,-50.41684,-25.88059,,2016/02/19
"5185","26235108",PORTO UNIÃO - Centro,CEMADEN,P,-51.084,-26.236,,2017/09/03
"4","26355045",Foz do Cachoeira,Simepar,H,-50.75,-26.5833,0,1997/06/01
"153","25495200",Barragem Usina Fundão,ELEJOR,H,-52.00288,-25.70366,713,2006/08/11
"154","25385156",Barragem Usina Santa Clara,ELEJOR,H,-51.9553,-25.64386,817,2006/08/24
"385","26715150",Água Doce - Trento,Epagri/Ciram,M,-51.5,-26.71,,2015/04/08
"404","26475197",Palmas,Iapar,M,-51.97467,-26.46711,1093,2015/12/11
"471","26815098",Caçador,Epagri/Ciram,M,-50.985,-26.81861,960,2015/04/09
"519","26775202",Coronel Passos Maia,Epagri/Ciram,H,-52.025,-26.77278,840,2008/01/01
"523","26825087",Caçador,Epagri/Ciram,H,-50.87,-26.82167,960,2008/01/01
"536","26055019",Divisa,Simepar,H,-50.3166,-26.0833,770,1997/09/17
"567","25475206",Segredo,Simepar,H,-52.11895,-25.7911,0,1999/01/01
"647","25385201",Cavernoso em Vau dos Ribeiros,PCH Cavernoso II,H,-52.02561,-25.3803,0,2012/05/23
"683","25495223",PCH Cavernoso II - Barragem Nível Aux,PCH Cavernoso II,H,-52.21747,-25.49008,567,2014/03/13
"702","25385158",Santa Clara,Copel,H,-51.9666,-25.6333,,1997/06/01
"719","25495221",PCH Cavernoso II - Barragem,PCH Cavernoso II,H,-52.21747,-25.49008,567,2012/10/03
"745","26055155",Solais Novo,Simepar,H,-51.9166,-26.0833,809,1997/05/01
"926","26585152",Palmas - Horizonte,Simepar,M,-51.52019,-26.5829,1344,2019/11/20
"995","27035093",FRAIBURGO- CEM Dona Zenaide Maria Schmidtt Pereira da Costa,CEMADEN,P,-50.93099,-27.03318,,2015/03/03
"1113","26865203",PONTE SERRADA- Baía Alta,CEMADEN,P,-52.03214,-26.85814,,2015/02/23
"1523","25495222",PCH Cavernoso II - Jusante,PCH Cavernoso II,H,-52.22731,-25.495,0,2012/05/30
"1899","25825217",Coronel Domingos Soares,Simepar,H,-51.98156,-26.03729,607,2010/11/12
"1935","27025114",VIDEIRA- Oficina da Prefeitura,CEMADEN,P,-51.14116,-27.02053,,2015/03/03
"2121","26615068",TIMBÓ GRANDE - Boa Vista,CEMADEN,P,-50.67652,-26.61264,,2015/03/06
"2210","26595210",ABELARDO LUZ- EBM José Maria,CEMADEN,P,-52.14494,-26.6605,,2015/03/02
"2547","27005114",VIDEIRA - Aeroporto,CEMADEN,P,-51.14152,-27.00089,,2015/03/03
"2549","27005107",VIDEIRA - Rio das Pedras,CEMADEN,P,-51.0703,-27.00514,,2015/03/03
"2622","26665214",ABELARDO LUZ- Assentamento 25 maio,CEMADEN,P,-52.144,-26.66,,2014/12/21
"2763","25385157",Pinhão,Simepar,M,-51.9625,-25.64944,910,2003/04/08
"3117","26445084",Caçador,Inmet,M,-50.98552,-26.81916,944.26,2008/03/19
"3486","26285158",Palmas,Simepar,M,-51.9762,-26.4682,1100,1998/04/28
"3727","25755210",Derivação do Rio Jordão,Simepar,H,-52.10889,-25.75922,689,2013/01/24
"3952","25505222",Sitio Laranjal,PCH Cavernoso II,H,-52.22975,-25.50973,,2016/10/04
"4143","26755225",Barragem Celso Ramos,Epagri/Ciram,H,-52.25861,-26.75444,726,2008/01/01
"4156","27025116",Videira,Epagri/Ciram,H,-51.16056,-27.02972,775,2008/01/01
"4582","27045093",FRAIBURGO - ,CEMADEN,P,-50.9341,-27.0496,,2014/12/19
"4829","26785101",CAÇADOR - Defesa Civil,CEMADEN,P,-51.0094,-26.7769,,2016/10/06
"4830","26795102",CAÇADOR - Rio do peixe,CEMADEN,H,-51.00976,-26.77092,,2016/09/28
"4950","27055093",FRAIBURGO - São Miguel,CEMADEN,P,-50.934,-27.049,,2015/02/05
"4995","27025189",IRANI - Centro,CEMADEN,P,-51.8937,-27.02329,,2015/02/23
"5057","27015115",VIDEIRA - Floresta,CEMADEN,P,-51.16095,-27.00377,,2015/03/03
"5580","25375212",CANTAGALO - Centro,CEMADEN,P,-52.12637,-25.37224,,2017/10/07
"26","25464925",Horto Municipal,Águas Paraná,H,-49.2506,-25.463,,2017/05/15
"28","25474932",Santa Quitéria,Águas Paraná,H,-49.32372,-25.47175,,2017/05/15
"30","25284900",Roça Nova,Epagri/Ciram,P,-49,-25.4728,,2010/02/25
"41","26684915",POMERODE - Rega,CEMADEN,P,-49.144,-26.682,,2014/07/25
"52","25644907",Reservatório Miringuava,SANEPAR,P,-49.07424,-25.64231,944,2020/12/08
"66","25494906",Vossoroca,Orbcopel,H,-49.0833,-25.8166,,
"87","25554836",Techint,Simepar,M,-48.36707,-25.55347,30,2016/11/17
"93","25434872",SAMAE Antonina,Simepar,P,-48.72019,-25.43083,0,2012/05/15
"98","25394911",Pinhais,Epagri/Ciram,P,-49.1186,-25.39,945,2010/06/15
"128","25444923",Politécnico Meteorológica,Testes Laboratório,M,-49.23066,-25.44868,935,2017/07/10
"155","98888885",03- teste offset,Testes Laboratório,H,-49.2666,-25.4333,,2015/02/19
"159","20618",Vossoroca,Orbcopel,H,-49.0833,-25.8166,,
"179","99999993",01 - Teste Offset,Testes Laboratório,H,-49.23033,-25.44817,935,2008/03/06
"180","25334907",CAMPINA GRANDE DO SUL - Jardim Diamante,CEMADEN,P,-49.079,-25.334,,2014/08/15
"181","98888883",TS + sat1 - 300,Testes Laboratório,H,-49.2666,-25.4333,,2009/03/06
"188","25484883",MORRETES- Vila dos Ferroviários,CEMADEN,P,-48.834,-25.478,8.48,2014/07/25
"190","25484859",Salto do Meio,Simepar,H,-48.99193,-25.80797,815,1997/06/01
"192","25444888",MORRETES - Parque Breckenfeld,CEMADEN,P,-48.877,-25.437,8.48,2015/02/05
"194","25524854",PARANAGUÁ- Padre Jackson,CEMADEN,P,-48.543,-25.517,,2015/02/05
"196","25404919",PINHAIS- Jardim Atuba,CEMADEN,P,-49.193,-25.4,,2014/07/25
"197","25444916",PINHAIS- Maria Antonieta,CEMADEN,P,-49.165,-25.442,,2014/07/25
"199","25394919",PINHAIS- Perdizes,CEMADEN,P,-49.19,-25.394,,2014/07/25
"205","25464919",PINHAIS- Weiss¢polis,CEMADEN,P,-49.187,-25.462,,2014/07/25
"206","25434918",PINHAIS- Pineville,CEMADEN,P,-49.176,-25.431,,2014/07/25
"207","25404918",PINHAIS- Jardim Claudia,CEMADEN,P,-49.18,-25.4,,2014/07/25
"248","26695014",PAPANDUVA- Nova Cultura,CEMADEN,P,-50.14341,-26.6898,,2015/03/17
"255","26884923",INDAIAL - Carijós,CEMADEN,P,-49.23332,-26.88128,,2015/02/08
"256","26894919",INDAIAL - Encano,CEMADEN,P,-49.19313,-26.89003,,2015/02/10
"260","26504909",JARAGUÁ DO SUL - Defesa Civil,CEMADEN,P,-49.0896,-26.5051,,2015/02/11
"261","26434908",JARAGUÁ DO SUL - Corpo de Bombeiros Voluntários,CEMADEN,P,-49.07919,-26.42641,,2015/02/11
"263","26094980",RIO NEGRO - R. Emílio Von Linzingen,CEMADEN,P,-49.8,-26.089,,2014/07/25
"264","26124978",RIO NEGRO - Vila São Judas Tadeu,CEMADEN,P,-49.776,-26.118,,2014/07/25
"267","25454910",PIRAQUARA - Jardim Santa Mônica,CEMADEN,P,-49.101,-25.45,,2014/07/25
"268","25464915",PIRAQUARA - Vila Mariana,CEMADEN,P,-49.147,-25.46,,2014/07/25
"269","25474906",PIRAQUARA - Horto Municipal,CEMADEN,P,-49.058,-25.472,,2014/07/25
"275","25364924",Araucária,Suderhsa,A,-49.3981,-25.6002,897,2008/01/01
"277","26674885",LUIZ ALVES - Alto Canoas,CEMADEN,P,-48.845,-26.67,,
"278","26775001",SANTA TEREZINHA- UBS Centro,CEMADEN,P,-50.00846,-26.77489,,2015/03/05
"279","26394859",SÃO FRANCISCO DO SUL- Praia do Ervino,CEMADEN,P,-48.5885,-26.38688,,2015/02/20
"283","25484900",Salto do Meio,Orbcopel,H,-48.9833,-25.8,,
"350","25314870",Vila Nova,Simepar,H,-48.7073,-25.31948,6.83,2018/04/10
"363","25464957",Santa Cecília,Águas Paraná,P,-49.57091,-25.46276,,2016/06/14
"366","25314912",Cidade Jardim,Suderhsa,F,-49.2141,-25.5238,906,
"381","25264916",Curitiba,Simepar,M,-49.23033,-25.44817,935,1997/06/01
"384","27134951",UHE Salto Pilão - Vazão Sanitária,Epagri/Ciram,H,-49.51,-27.13,,2015/04/08
"388","26714890",Luiz Alves - MDA,Epagri/Ciram,M,-48.9,-26.71,,2015/04/08
"389","26974961",José Boiteux - MDA,Epagri/Ciram,M,-49.61,-26.97,,2015/04/08
"390","26344898",Joinville - Vila Nova - MDA,Epagri/Ciram,M,-48.98,-26.34,,2015/04/08
"391","26744941",Benedito Novo - Santa Maria - MDA,Epagri/Ciram,M,-49.41,-26.74,,2015/04/08
"394","26554923",Jaraguá do Sul - MDA,Epagri/Ciram,M,-49.23,-26.55,,2015/04/08
"396","26534887",Guaramirim - MDA,Epagri/Ciram,M,-48.87,-26.53,,2015/04/08
"397","27084947","UHE Salto Pilão - Vazão Reduzida 02	",Epagri/Ciram,H,-49.47,-27.08,,2015/04/08
"399","27084951","UHE Salto Pilão - Vazão Reduzida 01	",Epagri/Ciram,H,-49.51,-27.08,,2015/04/08
"436","26614901",Massaranduba - MDA,Epagri/Ciram,M,-49.01,-26.61,,2015/04/08
"439","25504918",SÃO JOSÉ DOS PINHAIS- Afonso Pena,CEMADEN,P,-49.18,-25.503,906,2014/07/25
"444","25784976",Lapa,Epagri/Ciram,P,-49.7625,-25.7817,945,2010/06/18
"449","26204901",Quiriri,Epagri/Ciram,H,-49.01889,-26.20917,106,2011/01/01
"510","26914923",Indaial,Epagri/Ciram,H,-49.23417,-26.91361,60,2011/01/01
"512","27174952",MB-Lontras - SPERANDIO,Epagri/Ciram,H,-49.52194,-27.17861,354,2014/02/12
"514","267493",Barragem Rio Bonito,Epagri/Ciram,H,-49.3,-26.7,900,2008/01/01
"525","26634933",Cedro Jusante,Epagri/Ciram,H,-49.33333,-26.63333,790,2008/01/01
"526","26654935",Palmeiras Jusante,Epagri/Ciram,H,-49.35,-26.65,800,2008/01/01
"529","25254856",Barragem UHE Marumbi,Simepar,H,-48.9489,-25.4296,707,2008/11/21
"540","25354855",BR 277 - KM 48,ECOVIA,P,-48.9489,-25.5889,895,2008/01/03
"545","25424858",Guaricana,Simepar,H,-48.9828,-25.7114,709.79,1997/06/01
"561","25384915",Santa Mônica,Epagri/Ciram,P,-49.2552,-25.635,868,2010/06/10
"583","25514881",Morretes,Iapar,M,-48.80859,-25.50898,50,2015/08/01
"584","25814854",Matinhos Sede,Simepar,P,-48.54236,-25.81642,51,2012/12/05
"593","25494929",CURITIBA- Escola Municipal M. Clara B. Tesserolli,CEMADEN,P,-49.288,-25.4877,,2015/02/23
"596","26084978",RIO NEGRO - Bom Jesus,CEMADEN,P,-49.781,-26.085,,2014/07/25
"631","25544938",ARAUCÁRIA- Escola Municipal Eglé Cordeiro Machado Pinto,CEMADEN,P,-49.3813,-25.5433,897,2015/02/23
"632","25534921",SÃO JOSÉ DOS PINHAIS- Centro,CEMADEN,P,-49.206,-25.534,906,2014/07/25
"635","25484915",SÃO JOSÉ DOS PINHAIS- Guatupé,CEMADEN,P,-49.148,-25.484,906,2014/07/27
"636","25554920",SÃO JOSÉ DOS PINHAIS - São Pedro,CEMADEN,P,-49.196,-25.55,906,2014/07/25
"637","25544909",SÃO JOSÉ DOS PINHAIS - Borda do Campo,CEMADEN,P,-49.091,-25.537,906,2015/02/05
"638","25614917",SÃO JOSÉ DOS PINHAIS - São Marcos,CEMADEN,P,-49.169,-25.606,906,2014/07/25
"640","25594916",Grammer Sanepar,Águas Paraná,P,-49.1677,-25.58524,906,2016/01/25
"643","25424859",Guaricana,Orbcopel,H,-48.9666,-25.7,906,
"646","25524874",BR 277 - KM 24,ECOVIA,P,-48.7456,-25.5286,0,2012/05/07
"679","25784977",Lapa,Iapar,M,-49.76035,-25.78212,903,2015/08/01
"681","25334904",Chácara Guajubi,Suderhsa,P,-49.0716,-25.5455,906,2008/01/01
"684","25364916",Ponte do Umbarazinho,Suderhsa,Q,-49.2611,-25.5989,906,2008/01/01
"686","25314909",Fazendinha,Suderhsa,Q,-49.1469,-25.5189,906,2008/01/01
"688","25414911",Campo Largo da Roseira,Suderhsa,P,-49.1777,-25.6752,906,2008/01/01
"690","25354910",Grammer,Suderhsa,P,-49.1717,-25.5837,906,2008/01/01
"691","1875",Guaricana,Orbcopel,H,-48.9666,-25.7,906,2008/05/19
"698","25514914",Fazendinha,Águas Paraná,H,-49.14685,-25.5192,906,2013/07/14
"699","25584963",Balsa Nova,Águas Paraná,H,-49.63189,-25.58722,865,2014/02/04
"700","25354938",Balsa Nova,Suderhsa,Q,-49.632,-25.587,865,2002/07/04
"705","98888881",02 - Teste Offset,Testes Laboratório,H,-49.2666,-25.4333,,2015/02/13
"726","25894894",Oleoduto,PETROBRAS,P,-48.9489,-25.8902,,2011/03/18
"747","25574863",Morro Inglês,Simepar,P,-48.63814,-25.57578,30,2012/12/13
"748","25564947",São Bento,Simepar,H,-49.7833,-25.9333,799,1997/09/17
"749","25354852",BR 277 - KM 41,ECOVIA,M,-48.8811,-25.5794,374,2008/01/05
"753","25454912",Ponte PR 415,Águas Paraná,H,-49.12135,-25.45058,,2014/01/01
"755","25874857",Bombeiros Guaratuba,Simepar,P,-48.57806,-25.87381,0,2012/10/18
"756","25914858",CCO de Guaratuba,Simepar,P,-48.58137,-25.91217,8,2014/09/17
"757","25724970",Praça da Lapa,Caminhos do Paraná,P,-49.70617,-25.72683,978,2013/03/01
"776","26214960",Rio Preto Do Sul,Águas Paraná,H,-49.60361,-26.21556,,2014/02/20
"837","25564936",REPAR,Simepar CampoE,M,-49.3636,-25.5627,897,2014/01/01
"841","25734859",Parque Águas Claras,Simepar,P,-48.59944,-25.73044,21,2014/05/13
"864","25554916",SÃO JOSÉ DOS PINHAIS - Quississana,CEMADEN,P,-49.156,-25.548,906,2014/07/25
"894","26684928",Barragem Pinhal,Epagri/Ciram,H,-49.28333,-26.68333,800,2011/01/01
"907","26834911",BLUMENAU- Itoupava Central2,CEMADEN,P,-49.108,-26.833,,2014/07/25
"910","26724907",BLUMENAU- Vila Itoupava,CEMADEN,P,-49.066,-26.723,,2014/07/25
"917","25494886",MORRETES - América de Baixo,CEMADEN,P,-48.855,-25.49,8.48,2014/07/25
"934","27044962",PRESIDENTE GETÚLIO - Jardim Otilene,CEMADEN,P,-49.617,-27.043,,2014/07/25
"935","26905009",RIO DO CAMPO - Taiozinho,CEMADEN,P,-50.093,-26.896,,2014/07/25
"936","26864928",TIMBÓ - Araponguinhas,CEMADEN,P,-49.278,-26.858,,2014/07/25
"939","26945019",RIO DO CAMPO - Ribeirão Carneiro,CEMADEN,P,-50.194,-26.942,,2014/07/25
"940","26894906",BLUMENAU - Nova Esperança,CEMADEN,P,-49.055,-26.891,,2014/07/25
"941","26784936",BENEDITO NOVO - Centro,CEMADEN,P,-49.365,-26.782,,2014/07/25
"951","26434924",CORUPÁ- Corupá,CEMADEN,H,-49.2401,-26.429,,2014/10/19
