datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-07-15 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.004,0.000,0.027,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016
2021-07-15 12:00:00+00:00,0.003,0.067,0.001,0.010,0.000,0.000,0.007,0.000,0.040,0.000,0.000,0.150,0.000,0.071,0.041,0.001,0.001,0.130,0.050,0.002,0.001,0.000,0.001,0.017,0.001,0.002,0.005,0.000,0.022,0.897,0.000,0.004,0.004,0.086,0.035,0.012,0.023,0.000,0.004,1.148,0.000,0.001,0.003,0.000,0.000,0.016,0.013,0.038,0.000,0.000,0.001,0.412
2021-07-15 18:00:00+00:00,0.685,1.867,1.051,0.969,0.396,2.049,1.667,1.155,1.535,1.655,1.606,0.891,0.834,3.419,0.322,1.443,1.316,0.084,0.839,0.330,0.796,0.080,1.218,0.420,0.455,0.826,0.434,1.392,0.553,0.174,0.923,0.757,1.212,1.758,0.866,1.093,1.739,0.131,0.829,0.007,1.127,1.186,0.513,0.413,1.461,1.157,0.683,0.809,2.927,0.841,0.292,0.969
2021-07-16 00:00:00+00:00,18.952,19.537,15.441,15.420,17.107,18.562,17.833,14.409,21.767,13.089,10.203,19.235,13.790,15.137,9.173,12.372,16.058,16.528,14.715,7.850,18.594,13.356,16.935,11.239,11.375,14.170,16.408,16.127,13.965,18.102,13.283,12.092,11.552,15.233,14.064,17.574,22.561,9.328,12.428,14.338,13.182,18.231,12.063,17.055,15.005,20.343,17.361,12.111,18.747,14.814,16.352,0.031
2021-07-16 06:00:00+00:00,1.478,0.875,1.499,2.187,0.701,0.789,4.353,0.319,3.204,0.986,0.353,0.857,0.839,0.401,0.337,0.837,0.330,1.877,3.934,1.099,7.268,7.487,1.931,0.350,1.592,0.130,0.832,1.741,1.197,5.266,4.096,3.151,1.062,0.340,0.969,1.280,1.852,0.129,3.219,5.399,3.750,1.957,4.669,3.365,2.555,2.061,1.562,0.166,2.138,2.045,3.209,0.040
2021-07-16 12:00:00+00:00,0.085,0.055,0.025,0.072,0.019,0.105,0.046,0.052,0.032,0.063,0.049,0.023,0.052,0.089,0.010,0.045,0.062,0.030,0.017,0.050,0.034,0.074,0.100,0.034,0.050,0.029,0.030,0.027,0.026,0.033,0.072,0.006,0.031,0.025,0.002,0.054,0.025,0.022,0.042,0.027,0.049,0.050,0.053,0.040,0.014,0.017,0.026,0.071,0.411,0.469,0.082,0.579
2021-07-16 18:00:00+00:00,0.582,0.146,0.782,0.350,0.535,0.251,0.710,0.436,0.577,0.776,0.189,0.276,0.366,0.378,0.330,0.467,0.390,0.498,0.710,0.357,0.585,0.863,0.936,0.142,0.465,0.170,0.755,0.514,0.326,0.351,1.483,0.785,0.787,0.138,0.066,0.649,0.768,0.200,0.744,0.248,0.601,0.217,0.498,0.652,0.488,0.172,0.390,0.273,0.630,0.910,0.735,1.319
2021-07-17 00:00:00+00:00,0.625,0.721,1.442,0.238,1.372,0.273,1.773,0.941,0.734,0.356,0.004,0.930,2.371,1.372,0.604,1.900,0.601,0.544,1.754,0.810,0.172,0.512,0.969,0.074,0.913,0.513,1.310,1.714,1.159,0.390,5.511,4.637,0.611,0.172,1.182,0.612,2.046,0.886,0.502,1.905,0.501,0.108,4.195,1.019,1.976,0.523,1.992,0.536,0.353,1.208,5.493,0.056
2021-07-17 06:00:00+00:00,0.133,0.243,0.090,0.582,4.851,0.319,0.320,0.434,0.259,0.182,0.053,0.305,1.025,0.792,0.268,0.588,0.151,0.254,0.145,0.158,0.039,0.232,0.336,0.122,0.221,0.969,0.729,0.377,0.484,0.079,3.442,0.347,0.529,0.556,3.034,0.242,3.875,0.471,0.496,1.038,0.228,0.152,2.046,0.484,0.136,1.089,0.613,0.406,0.134,0.495,0.135,0.020
2021-07-17 12:00:00+00:00,0.134,0.265,0.128,0.193,0.777,0.079,0.211,0.179,0.019,0.161,0.069,0.170,0.081,0.898,0.170,0.268,0.147,0.412,0.096,0.089,0.034,0.224,0.253,0.206,0.058,1.211,0.279,0.037,0.459,0.244,0.886,0.139,0.376,0.455,0.223,0.267,9.675,0.413,0.158,0.272,0.757,0.068,0.186,0.614,0.099,0.266,0.425,0.361,0.116,0.233,0.087,0.668
2021-07-17 18:00:00+00:00,0.193,0.124,0.112,0.017,0.636,0.002,0.114,0.079,0.050,0.051,0.021,0.149,0.430,0.215,0.056,0.438,0.076,0.294,0.261,0.132,0.003,0.040,0.201,0.055,0.296,0.562,0.057,0.342,0.128,0.045,0.901,0.018,0.161,0.418,0.161,0.179,0.915,0.037,0.036,0.097,0.339,0.026,0.042,0.265,0.054,0.084,0.183,0.128,0.057,0.206,0.029,1.349
2021-07-18 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.001,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056
2021-07-18 06:00:00+00:00,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043
2021-07-18 12:00:00+00:00,0.003,0.000,0.000,0.000,0.000,0.004,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.478
2021-07-18 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935
2021-07-19 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.051
2021-07-19 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024
2021-07-19 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.513
2021-07-19 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.130
2021-07-20 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060
2021-07-20 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025
2021-07-20 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.590
2021-07-20 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.205
2021-07-21 00:00:00+00:00,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.098
2021-07-21 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039
2021-07-21 12:00:00+00:00,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.002,0.679
2021-07-21 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.258
2021-07-22 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062
2021-07-22 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.032
2021-07-22 12:00:00+00:00,0.000,0.000,0.005,0.000,0.002,0.000,0.001,0.000,0.003,0.000,0.000,0.002,0.000,0.112,0.003,0.000,0.019,0.000,0.000,0.007,0.002,0.054,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.001,0.000,0.007,0.012,0.022,0.001,0.003,0.042,0.000,0.000,0.006,0.000,0.001,0.000,0.002,0.002,0.023,0.000,0.001,0.004,0.000,0.030,0.540
2021-07-22 18:00:00+00:00,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.000,0.006,1.152
2021-07-23 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071
2021-07-23 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.001,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.046,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.002,0.000,0.000,0.000,0.005,0.010,0.000,0.000,0.000,0.000,0.000,0.038
2021-07-23 12:00:00+00:00,0.000,0.003,0.001,0.000,0.000,0.002,0.010,0.000,0.006,0.000,0.000,0.002,0.004,0.164,0.006,0.000,0.023,0.002,0.000,0.111,0.000,0.003,0.000,0.003,0.000,0.010,0.000,0.063,0.001,0.003,0.052,0.003,0.000,0.003,0.001,0.006,0.002,0.056,0.008,0.007,0.002,0.000,0.001,0.000,0.015,0.059,0.001,0.003,0.010,0.000,0.010,0.630
2021-07-23 18:00:00+00:00,0.000,0.017,0.001,0.000,0.008,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.107,0.001,0.000,0.004,0.002,0.003,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.000,0.001,0.005,0.000,0.002,1.258
2021-07-24 00:00:00+00:00,0.000,0.010,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.055
2021-07-24 06:00:00+00:00,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.007,0.000,0.005,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.003,0.027
2021-07-24 12:00:00+00:00,0.003,0.000,0.010,0.003,0.000,0.002,0.000,0.002,0.048,0.000,0.000,0.000,0.004,0.114,0.002,0.004,0.039,0.001,0.019,0.009,0.009,0.008,0.000,0.000,0.000,0.000,0.008,0.045,0.000,0.000,0.101,0.005,0.001,0.002,0.000,0.003,0.000,0.003,0.002,0.000,0.000,0.000,0.000,0.002,0.000,0.008,0.000,0.000,0.000,0.011,0.012,0.558
2021-07-24 18:00:00+00:00,0.000,0.001,0.001,0.000,0.100,0.000,0.000,0.000,0.006,0.000,0.049,0.000,0.000,0.007,0.099,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,1.218
2021-07-25 00:00:00+00:00,0.000,0.000,0.000,0.000,1.172,0.001,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.034
2021-07-25 06:00:00+00:00,0.000,0.000,0.000,0.000,5.483,0.000,0.000,0.000,0.152,0.004,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.020
2021-07-25 12:00:00+00:00,0.000,0.000,0.001,0.000,13.875,0.000,0.000,0.000,2.037,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.005,2.160,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.000,0.000,0.009,0.003,0.000,0.000,3.574,0.005,0.002,0.000,0.000,0.000,0.000,0.730,0.000,0.000,0.264,0.005,0.000,0.000,0.000,0.006,0.944,0.660
2021-07-25 18:00:00+00:00,0.000,0.000,0.002,0.000,1.614,0.000,0.000,0.000,0.490,0.022,0.203,0.115,0.000,0.007,0.000,0.000,0.054,1.640,0.975,0.000,0.000,0.141,0.000,0.077,0.000,0.000,0.000,0.001,0.038,0.374,0.000,0.000,0.013,0.001,2.261,0.000,0.025,0.000,0.000,0.048,0.020,0.463,0.000,1.303,0.442,0.000,0.000,0.477,0.039,0.003,0.375,1.341
2021-07-26 00:00:00+00:00,0.000,0.000,0.001,0.000,0.309,0.000,0.000,0.000,0.013,0.002,0.423,5.885,0.001,0.069,0.001,6.120,0.002,0.001,0.820,0.000,0.000,2.895,0.000,0.150,0.000,0.087,0.000,0.000,0.154,4.010,0.000,0.000,0.008,0.000,3.287,0.000,0.001,0.000,0.000,1.113,0.056,0.327,0.000,0.771,0.280,0.000,0.000,9.977,0.005,0.000,0.053,0.054
2021-07-26 06:00:00+00:00,0.000,5.219,0.000,0.381,0.139,0.000,0.000,0.000,0.000,0.009,0.000,3.717,0.000,6.470,0.024,0.642,0.001,0.000,0.000,0.000,0.004,5.651,0.000,0.081,0.000,0.072,0.000,0.033,4.080,0.316,0.000,0.003,0.000,0.141,9.848,0.000,0.083,0.034,0.000,2.186,0.072,0.007,0.000,0.001,0.020,0.000,0.000,3.768,0.035,0.020,0.000,0.031
2021-07-26 12:00:00+00:00,0.000,4.250,0.004,5.564,0.004,0.000,0.000,0.000,0.046,0.071,0.010,0.006,0.000,9.918,0.008,0.001,0.002,0.002,3.181,0.000,0.000,6.270,0.000,1.563,0.000,0.002,0.005,0.004,1.381,0.038,0.107,0.001,0.000,5.147,12.075,0.008,2.599,0.159,0.036,1.634,0.155,0.016,0.000,0.006,0.003,0.000,0.150,0.016,0.047,0.079,0.009,0.676
2021-07-26 18:00:00+00:00,0.000,0.736,0.001,0.218,0.211,0.000,0.000,0.000,0.113,0.000,0.002,0.000,0.000,20.134,0.000,0.000,0.003,2.079,9.358,0.000,0.157,0.000,0.007,3.497,0.000,0.000,0.000,0.049,0.358,0.000,0.003,0.000,0.029,0.224,2.550,0.000,0.661,0.009,0.041,0.291,0.135,0.070,0.000,0.004,0.133,0.000,0.023,0.000,0.013,0.004,0.015,1.388
2021-07-27 00:00:00+00:00,0.000,0.000,0.000,0.001,0.071,0.000,0.000,0.000,0.029,0.000,0.075,0.000,0.000,2.929,0.016,0.000,0.002,4.622,1.193,0.000,1.882,0.000,0.024,0.085,0.000,0.000,0.000,0.361,0.186,0.000,0.015,0.005,0.906,0.000,1.789,0.000,0.089,0.000,0.000,0.000,0.201,0.000,0.005,0.016,0.055,0.000,0.029,0.000,0.001,0.000,0.008,0.050
2021-07-27 06:00:00+00:00,0.000,0.001,0.000,0.000,0.127,0.000,0.000,0.000,3.190,0.000,0.017,0.000,4.794,0.263,0.000,0.000,0.000,2.159,19.524,0.060,0.379,0.000,2.755,0.000,0.000,0.000,0.000,10.975,0.020,0.000,0.225,0.000,0.000,0.000,13.718,0.000,0.137,0.000,0.000,0.001,1.930,0.005,0.094,0.007,0.006,0.000,0.000,0.000,0.002,0.000,0.007,0.029
2021-07-27 12:00:00+00:00,0.001,0.000,0.000,0.000,0.240,0.000,0.000,0.080,6.322,0.000,0.005,0.000,3.428,0.002,0.002,0.000,0.000,0.314,29.448,1.637,0.977,0.006,0.159,0.003,0.006,0.030,0.002,1.862,0.116,0.017,0.409,0.000,0.057,0.000,0.163,0.000,2.470,0.146,0.019,0.000,0.087,0.026,0.001,0.076,0.145,0.001,0.010,0.000,0.042,0.000,0.626,0.487
2021-07-27 18:00:00+00:00,0.000,0.000,0.054,0.000,0.090,0.000,0.000,0.003,6.804,0.000,0.000,0.000,0.047,0.000,0.000,0.000,1.589,0.066,0.145,1.124,0.124,0.007,0.323,0.000,3.012,0.015,0.071,0.256,2.518,0.000,1.410,0.239,0.019,0.000,0.003,0.000,2.484,2.562,0.000,0.000,0.006,0.074,0.150,0.002,0.008,0.000,0.002,0.000,0.026,0.000,0.642,1.083
2021-07-28 00:00:00+00:00,0.000,0.000,0.115,0.000,0.001,0.002,0.000,0.002,8.986,0.000,0.000,3.621,0.000,0.000,0.000,0.000,2.342,0.000,0.015,0.986,0.240,0.000,6.612,0.015,1.359,0.000,0.048,0.077,0.872,0.000,2.139,1.914,0.002,0.000,0.000,0.000,3.199,0.378,0.000,0.000,0.010,0.016,0.080,0.000,0.000,0.000,0.000,0.000,1.266,0.000,0.028,0.069
2021-07-28 06:00:00+00:00,0.001,0.000,0.154,0.000,0.050,0.196,0.504,0.005,15.203,0.000,0.000,19.034,0.000,0.000,0.049,0.000,0.109,0.000,3.934,7.527,0.004,0.001,5.479,0.569,0.297,0.000,0.000,0.013,0.157,0.000,5.657,2.500,0.003,0.000,0.000,0.197,0.089,1.655,0.000,2.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.835,0.000,0.003,0.034
2021-07-28 12:00:00+00:00,0.061,0.000,0.001,0.000,0.144,0.077,1.381,0.683,1.359,0.001,0.000,11.353,0.000,0.000,2.604,0.001,0.136,0.000,10.281,8.243,0.067,0.025,0.332,6.465,0.174,0.057,0.018,0.005,0.122,0.361,7.094,1.905,0.059,0.002,0.001,6.249,0.002,3.942,0.000,4.030,0.002,0.000,0.008,0.000,0.002,0.522,2.183,0.000,0.339,0.000,0.000,0.640
2021-07-28 18:00:00+00:00,0.016,0.004,0.004,0.000,0.063,0.075,5.070,0.061,0.000,0.006,0.000,3.147,0.001,0.000,3.166,0.000,0.015,0.000,11.749,3.836,0.003,0.000,0.064,3.136,0.040,0.076,0.013,0.000,0.406,2.791,4.394,0.000,0.021,0.000,0.304,5.956,0.000,0.420,0.000,0.077,0.000,0.425,0.081,0.001,0.000,1.625,6.390,0.000,2.429,0.000,0.003,1.380
2021-07-29 00:00:00+00:00,0.000,0.000,0.308,0.000,0.000,1.180,0.372,0.252,0.000,0.000,0.002,19.728,0.096,0.000,3.337,0.000,0.000,0.000,8.278,1.249,0.000,0.000,0.214,0.399,0.083,0.045,0.002,0.000,0.125,6.911,0.556,4.655,0.001,0.233,0.002,0.793,0.000,0.000,0.000,0.076,0.055,16.986,0.064,0.000,0.000,0.290,0.688,0.000,0.847,0.016,0.054,0.043
